"","seqnames","start","end","width","strand","peakNames"
"1","1",1527,1736,210,"*",c("SRR5874657__00001", "SRR5874658__00001")
"2","1",2392,3296,905,"*",c("SRR5874657__00002", "SRR5874658__00002", "SRR5874657__00003")
"3","1",6517,6719,203,"*",c("SRR5874658__00003", "SRR5874657__00004")
"4","1",8609,9058,450,"*",c("SRR5874657__00005", "SRR5874658__00004")
"5","1",13653,13805,153,"*",c("SRR5874658__00005", "SRR5874657__00006")
"6","1",14200,14346,147,"*",c("SRR5874657__00007", "SRR5874658__00006")
"7","1",16637,16821,185,"*",c("SRR5874657__00008", "SRR5874658__00007")
"8","1",20223,20457,235,"*",c("SRR5874657__00009", "SRR5874658__00008")
"9","1",20557,21596,1040,"*",c("SRR5874657__00010", "SRR5874658__00009")
"10","1",22665,22760,96,"*",c("SRR5874658__00010", "SRR5874657__00011")
"11","1",23083,23170,88,"*",c("SRR5874658__00011", "SRR5874657__00012")
"12","1",33107,33270,164,"*",c("SRR5874658__00012", "SRR5874657__00013")
"13","1",33305,33888,584,"*",c("SRR5874658__00013", "SRR5874657__00014")
"14","1",37815,38378,564,"*",c("SRR5874658__00014", "SRR5874657__00015")
"15","1",44965,45139,175,"*",c("SRR5874658__00015", "SRR5874657__00017")
"16","1",46745,46979,235,"*",c("SRR5874658__00017", "SRR5874657__00018")
"17","1",49867,50046,180,"*",c("SRR5874658__00019", "SRR5874657__00019")
"18","1",51144,51563,420,"*",c("SRR5874657__00020", "SRR5874658__00021")
"19","1",51765,51935,171,"*",c("SRR5874658__00022", "SRR5874657__00021")
"20","1",55322,55692,371,"*",c("SRR5874657__00022", "SRR5874658__00024")
"21","1",56574,56849,276,"*",c("SRR5874658__00025", "SRR5874657__00023")
"22","1",57034,57261,228,"*",c("SRR5874657__00024", "SRR5874658__00026")
"23","1",57283,57599,317,"*",c("SRR5874658__00027", "SRR5874657__00025")
"24","1",59737,60032,296,"*",c("SRR5874657__00026", "SRR5874658__00028")
"25","1",62047,62200,154,"*",c("SRR5874658__00029", "SRR5874657__00027")
"26","1",63855,64391,537,"*",c("SRR5874658__00030", "SRR5874657__00028", "SRR5874658__00031")
"27","1",64557,64695,139,"*",c("SRR5874657__00029", "SRR5874658__00032")
"28","1",67576,67836,261,"*",c("SRR5874658__00033", "SRR5874657__00030")
"29","1",68262,68997,736,"*",c("SRR5874657__00031", "SRR5874658__00034")
"30","1",72113,72453,341,"*",c("SRR5874658__00035", "SRR5874657__00032")
"31","1",74616,74913,298,"*",c("SRR5874658__00036", "SRR5874657__00033")
"32","1",74951,75072,122,"*",c("SRR5874658__00037", "SRR5874657__00034")
"33","1",75349,75545,197,"*",c("SRR5874657__00035", "SRR5874658__00038")
"34","1",76149,76553,405,"*",c("SRR5874657__00036", "SRR5874658__00039", "SRR5874658__00040")
"35","1",77554,77846,293,"*",c("SRR5874657__00037", "SRR5874658__00041")
"36","1",81756,82078,323,"*",c("SRR5874658__00042", "SRR5874657__00038")
"37","1",83041,83645,605,"*",c("SRR5874658__00043", "SRR5874657__00039")
"38","1",86579,86803,225,"*",c("SRR5874657__00040", "SRR5874658__00044")
"39","1",88510,89042,533,"*",c("SRR5874658__00046", "SRR5874657__00041")
"40","1",91262,91419,158,"*",c("SRR5874657__00042", "SRR5874658__00047")
"41","1",95585,95996,412,"*",c("SRR5874657__00043", "SRR5874658__00048")
"42","1",99201,99945,745,"*",c("SRR5874658__00050", "SRR5874657__00044", "SRR5874658__00051")
"43","1",103743,103929,187,"*",c("SRR5874658__00052", "SRR5874657__00046")
"44","1",104048,104186,139,"*",c("SRR5874658__00053", "SRR5874657__00047")
"45","1",107464,107968,505,"*",c("SRR5874658__00055", "SRR5874657__00048")
"46","1",108176,108329,154,"*",c("SRR5874657__00049", "SRR5874658__00056")
"47","1",108905,109082,178,"*",c("SRR5874657__00050", "SRR5874658__00057")
"48","1",112246,113040,795,"*",c("SRR5874657__00051", "SRR5874658__00058")
"49","1",114104,114291,188,"*",c("SRR5874658__00059", "SRR5874657__00052")
"50","1",116068,116334,267,"*",c("SRR5874657__00053", "SRR5874658__00060")
"51","1",118376,118753,378,"*",c("SRR5874658__00062", "SRR5874657__00054")
"52","1",120365,121021,657,"*",c("SRR5874657__00055", "SRR5874658__00063")
"53","1",128208,128589,382,"*",c("SRR5874658__00064", "SRR5874657__00056")
"54","1",130480,131415,936,"*",c("SRR5874658__00065", "SRR5874657__00057", "SRR5874658__00066", "SRR5874657__00058")
"55","1",135852,136172,321,"*",c("SRR5874658__00067", "SRR5874657__00059")
"56","1",138203,138747,545,"*",c("SRR5874658__00068", "SRR5874657__00060", "SRR5874657__00061", "SRR5874658__00069")
"57","1",139082,139191,110,"*",c("SRR5874657__00062", "SRR5874658__00070")
